date,momentum_index,investment_value
2016-05-05,133.40439003472733,133404.39003472732
2016-05-06,134.01563978852045,134015.63978852044
2016-05-09,134.2073990297294,134207.3990297294
2016-05-10,135.85784982871564,135857.84982871564
2016-05-11,135.0259719590871,135025.9719590871
2016-05-12,134.5695524831476,134569.5524831476
2016-05-13,134.5030301204106,134503.0301204106
2016-05-16,136.69741320897413,136697.41320897412
2016-05-17,135.00538427131505,135005.38427131507
2016-05-18,135.44158330762238,135441.58330762238
2016-05-19,133.5247808515197,133524.7808515197
2016-05-20,135.66681103755934,135666.81103755935
2016-05-23,136.6454867400566,136645.4867400566
2016-05-24,140.69231442135498,140692.31442135497
2016-05-25,138.53198622005723,138531.98622005724
2016-05-26,140.1670115232396,140167.0115232396
2016-05-27,142.15621223528865,142156.21223528864
2016-05-31,141.43158218125808,141431.58218125807
2016-06-01,141.068056784688,141068.056784688
2016-06-02,141.92228670108813,141922.28670108813
2016-06-03,140.74966372671548,140749.6637267155
2016-06-06,141.98282475735166,141982.82475735166
2016-06-07,142.28797074256553,142287.97074256552
2016-06-08,140.2529902065385,140252.9902065385
2016-06-09,139.8651057032498,139865.1057032498
2016-06-10,137.63274277623225,137632.74277623225
2016-06-13,136.43423210140477,136434.23210140478
2016-06-14,137.37492341865917,137374.92341865916
2016-06-15,137.05558043890295,137055.58043890295
2016-06-16,137.55917149977952,137559.17149977954
2016-06-17,135.34103490216748,135341.03490216748
2016-06-20,138.20480691548943,138204.80691548943
2016-06-21,138.92806181365924,138928.06181365924
2016-06-22,137.93902895581564,137939.02895581565
2016-06-23,140.78649371237205,140786.49371237206
2016-06-24,136.27113159184114,136271.13159184114
2016-06-27,133.51488361314912,133514.8836131491
2016-06-28,136.74566529680223,136745.66529680224
2016-06-29,140.72123050551912,140721.2305055191
2016-06-30,143.40898181851713,143408.98181851715
2016-07-01,143.40898181851713,143408.98181851715
2016-07-05,142.6138582357382,142613.8582357382
2016-07-06,143.31404931923942,143314.04931923942
2016-07-07,144.63501931180517,144635.01931180517
2016-07-08,148.40997808640884,148409.97808640884
2016-07-11,152.0556795129186,152055.6795129186
2016-07-12,153.90768101363474,153907.68101363475
2016-07-13,153.06226787014631,153062.26787014632
2016-07-14,154.80140148091283,154801.40148091284
2016-07-15,153.48222428874,153482.22428874002
2016-07-18,154.34769056420433,154347.69056420433
2016-07-19,153.3509256899871,153350.92568998708
2016-07-20,155.90918475383592,155909.18475383593
2016-07-21,153.33062861532105,153330.62861532104
2016-07-22,154.54534430091374,154545.34430091374
2016-07-25,154.53069656995336,154530.69656995338
2016-07-26,154.79434908937617,154794.34908937616
2016-07-27,155.727104485592,155727.10448559202
2016-07-28,156.85505149287502,156855.05149287503
2016-07-29,159.16749191959758,159167.49191959758
2016-08-01,158.8022032142431,158802.20321424308
2016-08-02,156.49008473357773,156490.08473357774
2016-08-03,157.43712274171642,157437.12274171642
2016-08-04,159.46312087600666,159463.12087600667
2016-08-05,162.95660240157216,162956.60240157216
2016-08-08,162.77438067241448,162774.38067241447
2016-08-09,164.06466094644156,164064.66094644155
2016-08-10,164.20659000044319,164206.5900004432
2016-08-11,164.89408370406997,164894.08370406998
2016-08-12,165.4058530536843,165405.8530536843
2016-08-15,165.5487034169232,165548.70341692318
2016-08-16,164.23995862067434,164239.95862067436
2016-08-17,164.3388027067075,164338.8027067075
2016-08-18,165.30566148943143,165305.66148943143
2016-08-19,164.90141293633081,164901.4129363308
2016-08-22,162.68994304587906,162689.94304587907
2016-08-23,163.7319073874167,163731.9073874167
2016-08-24,162.3435889552032,162343.5889552032
2016-08-25,165.29194238667841,165291.94238667842
2016-08-26,165.44630569019535,165446.30569019535
2016-08-29,165.33111681935964,165331.11681935962
2016-08-30,165.70231121747977,165702.3112174798
2016-08-31,165.60973544601998,165609.73544601997
2016-09-01,168.15331072472128,168153.3107247213
2016-09-02,168.5772495977484,168577.2495977484
2016-09-06,169.30280776530617,169302.80776530618
2016-09-07,169.16967417829653,169169.67417829653
2016-09-08,168.75271704795074,168752.71704795075
2016-09-09,164.656098335889,164656.098335889
2016-09-12,166.8358387240531,166835.83872405312
2016-09-13,163.9786273876165,163978.62738761652
2016-09-14,165.47888565344638,165478.88565344637
2016-09-15,168.41548151336616,168415.48151336616
2016-09-16,168.70238222415054,168702.38222415053
2016-09-19,167.4297905345083,167429.7905345083
2016-09-20,168.08956208968735,168089.56208968736
2016-09-21,170.74603530645368,170746.03530645368
2016-09-22,171.9321912967262,171932.19129672617
2016-09-23,170.60494493649782,170604.9449364978
2016-09-26,168.91241140912726,168912.41140912726
2016-09-27,170.52178873247468,170521.78873247467
2016-09-28,172.32126715342324,172321.26715342322
2016-09-29,172.7384475894622,172738.4475894622
2016-09-30,173.587290104851,173587.290104851
